	Cluster	week	outlier
SRR11939537	C02	NA	0
SRR11939538	C02	NA	0
SRR11939539	C09	NA	0
SRR11939540	C09	NA	0
SRR11939542	C02	NA	0
SRR11939543	C09	NA	0
SRR11939544	C02	NA	0
SRR11939546	C09	NA	0
SRR11939547	C11	NA	0
SRR11939549	C09	NA	0
SRR11939550	C09	NA	0
SRR11939551	C09	NA	0
SRR11939552	C02	NA	0
SRR11939554	C09	NA	0
SRR11939555	C09	NA	0
SRR11939556	C15	NA	0
SRR11939557	C15	NA	0
SRR11939558	C02	NA	0
SRR11939559	C15	NA	0
SRR11939560	C09	NA	0
SRR11939562	C11	NA	0
SRR11939563	C09	NA	0
SRR11939564	C15	NA	0
SRR11939565	C02	NA	0
SRR11939923	C02	NA	0
SRR11939925	C11	NA	0
SRR11939928	C12	NA	0
SRR11939929	C02	NA	0
SRR11939930	C12	NA	0
SRR11939931	C18	NA	0
SRR11939933	C12	NA	0
SRR11939934	C02	NA	0
SRR11939936	C11	NA	0
SRR11939937	C12	NA	0
SRR11939938	C11	NA	0
SRR11939939	C11	NA	0
SRR11939940	C10	NA	0
SRR11939941	C11	NA	0
SRR11939942	C12	NA	0
SRR11939944	C11	NA	0
SRR11939945	C09	NA	0
SRR11939952	C09	NA	0
SRR11939953	C13	NA	0
SRR11939954	C13	NA	0
SRR11939955	C13	NA	0
SRR11939956	C13	NA	0
SRR11939957	C13	NA	0
SRR11939958	C13	NA	0
SRR11939959	C13	NA	0
SRR11939965	C02	NA	0
SRR11939968	C12	NA	0
SRR11939974	C09	NA	0
SRR11939976	C09	NA	0
SRR11939978	C10	NA	0
SRR11939979	C11	NA	0
SRR11939984	C13	NA	0
SRR11939986	C12	NA	0
SRR11939987	C13	NA	0
SRR11939988	C13	NA	0
SRR11939989	C13	NA	0
SRR11939990	C13	NA	0
SRR11939991	C13	NA	0
SRR11939992	C13	NA	0
SRR11939993	C13	NA	0
SRR11939994	C13	NA	0
SRR11939995	C13	NA	0
SRR11939998	C13	NA	0
SRR11939999	C13	NA	0
SRR11940000	C13	NA	0
SRR11940001	C13	NA	0
SRR11940002	C13	NA	0
SRR11940003	C13	NA	0
SRR11940004	C13	NA	0
SRR11940005	C13	NA	0
SRR11940006	C13	NA	0
SRR11940008	C11	NA	0
SRR11940010	C02	NA	0
SRR11945456	C07	NA	0
SRR12008186	C02	10	0
SRR12008187	C02	NA	0
SRR12008188	C11	NA	0
SRR12030588	C03	NA	0
SRR12030596	C03	NA	0
SRR12030604	C08	NA	0
SRR12030607	C03	NA	0
SRR12030609	C03	NA	0
SRR12100397	C04	NA	0
SRR12100398	C12	NA	0
SRR12100400	C02	NA	0
SRR12100403	C02	NA	0
SRR12100404	C02	NA	0
SRR12100405	C11	NA	0
SRR12100406	C02	NA	0
SRR12100407	C02	10	0
SRR12100408	C02	NA	0
SRR12100409	C02	NA	0
SRR12100410	C02	NA	0
SRR12100411	C08	NA	0
SRR12100412	C02	NA	0
SRR12100413	C02	NA	0
SRR12100415	C12	NA	0
SRR12100417	C02	NA	0
SRR12100418	C02	NA	0
SRR12100419	C02	NA	0
SRR12100420	C02	NA	0
SRR12100421	C02	NA	0
SRR12100422	C12	NA	0
SRR12100423	C02	NA	0
SRR12100424	C02	NA	0
SRR12100425	C11	NA	0
SRR12100426	C08	NA	0
SRR12100427	C11	NA	0
SRR12100428	C08	NA	0
SRR12100429	C08	NA	0
SRR12100430	C08	NA	0
SRR12100431	C08	NA	0
SRR12100433	C12	NA	0
SRR12100434	C02	NA	0
SRR12110156	C02	NA	0
SRR12110157	C02	NA	0
SRR12110158	C12	NA	0
SRR12110159	C11	NA	0
SRR12110160	C11	NA	0
SRR12110161	C02	NA	0
SRR12110162	C12	NA	0
SRR12110163	C12	NA	0
SRR12110164	C02	NA	0
SRR12110165	C12	NA	0
SRR12110166	C02	NA	0
SRR12110167	C15	NA	0
SRR12110168	C02	NA	0
SRR12110169	C10	NA	0
SRR12110170	C11	NA	0
SRR12110171	C11	NA	0
SRR12110172	C11	NA	0
SRR12110173	C12	NA	0
SRR12110174	C18	NA	0
SRR12110175	C11	NA	0
SRR12110176	C11	NA	0
SRR12110177	C11	NA	0
SRR12110178	C15	NA	0
SRR12110179	C11	NA	0
SRR12110180	C09	NA	0
SRR12110181	C11	NA	0
SRR12110183	C11	NA	0
SRR12110184	C11	NA	0
SRR12110185	C11	NA	0
SRR12110186	C08	NA	0
SRR12110187	C11	NA	0
SRR12110188	C02	NA	0
SRR12110189	C12	NA	0
SRR12110190	C12	NA	0
SRR12110191	C14	NA	0
SRR12110192	C02	NA	0
SRR12110193	C11	NA	0
SRR12110194	C02	NA	0
SRR12110195	C11	NA	0
SRR12110196	C11	NA	0
SRR12110197	C12	NA	0
SRR12110198	C02	NA	0
SRR12110199	C02	NA	0
SRR12110200	C15	NA	0
SRR12110201	C02	NA	0
SRR12110203	C11	NA	0
SRR12110204	C11	NA	0
SRR12110205	C11	NA	0
SRR12110206	C12	NA	0
SRR12110207	C08	NA	0
SRR12159823	C09	17	0
SRR12159824	C10	NA	0
SRR12159826	C11	NA	0
SRR12159827	C04	16	0
SRR12188545	C02	NA	0
SRR12188548	C11	NA	0
SRR12188549	C05	NA	0
SRR12188550	C12	NA	0
SRR12188551	C11	NA	0
SRR12188552	C11	NA	0
SRR12188553	C12	NA	0
SRR12188554	C02	NA	1
SRR12188557	C11	NA	0
SRR12188558	C15	NA	0
SRR12188560	C10	NA	0
SRR12188561	C11	NA	0
SRR12188562	C11	NA	0
SRR12188563	C10	NA	0
SRR12188564	C09	NA	0
SRR12188565	C11	NA	0
SRR12188567	C11	NA	0
